path,tenant,owner,confidentiality,effective_from,effective_to,source_url,description
documents/cisa_kev/cve-2026-32201_microsoft_sharepoint-server.md,default,cisa-kev,public,2026-04-14,2026-04-28,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-32201: Microsoft SharePoint Server.
documents/cisa_kev/cve-2012-1854_microsoft_visual-basic-for-applications-vba.md,default,cisa-kev,public,2026-04-13,2026-04-27,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2012-1854: Microsoft Visual Basic for Applications (VBA).
documents/cisa_kev/cve-2025-60710_microsoft_windows.md,default,cisa-kev,public,2026-04-13,2026-04-27,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-60710: Microsoft Windows.
documents/cisa_kev/cve-2023-21529_microsoft_exchange-server.md,default,cisa-kev,public,2026-04-13,2026-04-27,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2023-21529: Microsoft Exchange Server.
documents/cisa_kev/cve-2023-36424_microsoft_windows.md,default,cisa-kev,public,2026-04-13,2026-04-27,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2023-36424: Microsoft Windows.
documents/cisa_kev/cve-2020-9715_adobe_acrobat.md,default,cisa-kev,public,2026-04-13,2026-04-27,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2020-9715: Adobe Acrobat.
documents/cisa_kev/cve-2026-21643_fortinet_forticlient-ems.md,default,cisa-kev,public,2026-04-13,2026-04-16,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-21643: Fortinet FortiClient EMS.
documents/cisa_kev/cve-2026-34621_adobe_acrobat-and-reader.md,default,cisa-kev,public,2026-04-13,2026-04-27,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-34621: Adobe Acrobat and Reader.
documents/cisa_kev/cve-2026-1340_ivanti_endpoint-manager-mobile-epmm.md,default,cisa-kev,public,2026-04-08,2026-04-11,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-1340: Ivanti Endpoint Manager Mobile (EPMM).
documents/cisa_kev/cve-2026-35616_fortinet_forticlient-ems.md,default,cisa-kev,public,2026-04-06,2026-04-09,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-35616: Fortinet FortiClient EMS.
documents/cisa_kev/cve-2026-3502_trueconf_client.md,default,cisa-kev,public,2026-04-02,2026-04-16,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-3502: TrueConf Client.
documents/cisa_kev/cve-2026-5281_google_dawn.md,default,cisa-kev,public,2026-04-01,2026-04-15,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-5281: Google Dawn.
documents/cisa_kev/cve-2026-3055_citrix_netscaler.md,default,cisa-kev,public,2026-03-30,2026-04-02,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-3055: Citrix NetScaler.
documents/cisa_kev/cve-2025-53521_f5_big-ip.md,default,cisa-kev,public,2026-03-27,2026-03-30,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-53521: F5 BIG-IP.
documents/cisa_kev/cve-2026-33634_aquasecurity_trivy.md,default,cisa-kev,public,2026-03-26,2026-04-09,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-33634: Aquasecurity Trivy.
documents/cisa_kev/cve-2026-33017_langflow_langflow.md,default,cisa-kev,public,2026-03-25,2026-04-08,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-33017: Langflow Langflow.
documents/cisa_kev/cve-2025-32432_craft-cms_craft-cms.md,default,cisa-kev,public,2026-03-20,2026-04-03,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-32432: Craft CMS Craft CMS.
documents/cisa_kev/cve-2025-54068_laravel_livewire.md,default,cisa-kev,public,2026-03-20,2026-04-03,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-54068: Laravel Livewire.
documents/cisa_kev/cve-2025-43510_apple_multiple-products.md,default,cisa-kev,public,2026-03-20,2026-04-03,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-43510: Apple Multiple Products.
documents/cisa_kev/cve-2025-43520_apple_multiple-products.md,default,cisa-kev,public,2026-03-20,2026-04-03,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-43520: Apple Multiple Products.
